throw_id,t,x_raw,y_raw,z_raw,vel_x_ground_truth,vel_y_ground_truth,vel_z_ground_truth,vel_x_measured,vel_y_measured,vel_z_measured
3,0.316666667,-0.209302003,-0.123260704,0.147107047,-0.715300766,-4.127626824,-3.419728703,-0.773331219,-3.09318935,-0.738836863
3,0.333333333,-0.222190856,-0.17481386,0.134793099,-0.715300766,-4.127626824,-3.497181434,-0.773331219,-3.09318935,-0.738836863
3,0.35,-0.23507971,-0.226367016,0.122479151,-0.715300766,-4.127626824,-3.574634165,-0.773331219,-3.09318935,-0.738836863
4,0,0.069435993,1.081051907,0.883849727,,,,0.177221632,-3.567569827,-1.977297277
4,0.016666667,0.072389687,1.02159241,0.850894772,0.2538593,-3.546370867,-1.998384103,0.177221632,-3.567569827,-1.977297277
4,0.033333333,0.073639632,0.965752704,0.821204751,0.2538593,-3.546370867,-2.107650794,0.074996724,-3.35038238,-1.781401278
4,0.05,0.072302097,0.906506807,0.786337444,0.2538593,-3.546370867,-2.216917485,-0.080252096,-3.554753785,-2.092038429
4,0.066666667,0.077605203,0.846059668,0.749653167,0.2538593,-3.546370867,-2.326184176,0.318186361,-3.626828362,-2.20105661
4,0.083333333,0.082608493,0.780741112,0.706477223,0.2538593,-3.546370867,-2.435450867,0.300197375,-3.919113368,-2.590556663
4,0.1,0.084402714,0.725749261,0.66623935,0.2538593,-3.546370867,-2.544717559,0.107653286,-3.299511025,-2.414272327
4,0.116666667,0.090210453,0.665527085,0.62330838,0.2538593,-3.546370867,-2.65398425,0.34846432,-3.613330607,-2.575858207
4,0.133333333,0.090819707,0.606851952,0.579099308,0.2538593,-3.546370867,-2.763250941,0.036555232,-3.520507931,-2.652544341
4,0.15,0.097651819,0.546809621,0.530917899,0.2538593,-3.546370867,-2.872517632,0.409926765,-3.602539887,-2.89088452
4,0.166666667,0.099381239,0.488321494,0.480958239,0.2538593,-3.546370867,-2.981784323,0.103765172,-3.509287613,-2.997579633
4,0.183333333,0.105633649,0.42701843,0.42775565,0.2538593,-3.546370867,-3.091051014,0.375144597,-3.678183845,-3.192155321
4,0.2,0.111627679,0.365393904,0.377673311,0.2538593,-3.546370867,-3.200317705,0.359641806,-3.697471556,-3.004940355
4,0.216666667,0.115572692,0.309487372,0.320222787,0.2538593,-3.546370867,-3.309584397,0.236700798,-3.354391931,-3.447031459
4,0.233333333,0.122397102,0.249305525,0.265892147,0.2538593,-3.546370867,-3.418851088,0.409464607,-3.610910823,-3.259838366
4,0.25,0.129016894,0.191740717,0.207707854,0.2538593,-3.546370867,-3.528117779,0.397187531,-3.453888445,-3.491057608
4,0.266666667,0.132548312,0.134390953,0.144374132,0.2538593,-3.546370867,-3.63738447,0.211885054,-3.44098585,-3.800023273
4,0.283333333,0.144909737,0.077221027,0.085835417,0.2538593,-3.546370867,-3.746651161,0.741685516,-3.430195593,-3.51232294
4,0.3,0.136319802,0.027493701,0.034951583,0.2538593,-3.546370867,-3.855917852,-0.5153961,-2.983639567,-3.053030045
5,0,0.020527352,1.238399789,0.946744882,,,,-0.786217705,-3.71177617,-1.258832977
5,0.016666667,0.007423723,1.176536853,0.925764332,-0.717440794,-3.974029771,-1.363228181,-0.786217705,-3.71177617,-1.258832977
5,0.033333333,-0.002821095,1.117183146,0.903382535,-0.717440794,-3.974029771,-1.533665947,-0.614689131,-3.561222379,-1.342907857
5,0.05,-0.010894046,1.053974796,0.876045557,-0.717440794,-3.974029771,-1.704103713,-0.484377018,-3.792501026,-1.640218654
